Selegiline	O
-	O
induced	O
postural	B-DISO
hypotension	I-DISO
in	O
Parkinson	B-DISO
'	I-DISO
s	I-DISO
disease	I-DISO
:	O
a	O
longitudinal	O
study	O
on	O
the	O
effects	O
of	O
drug	O
withdrawal	O
.	O

OBJECTIVES	O
:	O
The	O
United	O
Kingdom	O
Parkinson	B-DISO
'	I-DISO
s	I-DISO
Disease	I-DISO
Research	O
Group	O
(	O
UKPDRG	O
)	O
trial	O
found	O
an	O
increased	O
mortality	O
in	O
patients	O
with	O
Parkinson	B-DISO
'	I-DISO
s	I-DISO
disease	I-DISO
(	O
PD	B-DISO
)	O
randomized	O
to	O
receive	O
10	O
mg	O
selegiline	O
per	O
day	O
and	O
L	O
-	O
dopa	O
compared	O
with	O
those	O
taking	O
L	O
-	O
dopa	O
alone	O
.	O

Recently	O
,	O
we	O
found	O
that	O
therapy	O
with	O
selegiline	O
and	O
L	O
-	O
dopa	O
was	O
associated	O
with	O
selective	O
systolic	B-DISO
orthostatic	I-DISO
hypotension	I-DISO
which	O
was	O
abolished	O
by	O
withdrawal	O
of	O
selegiline	O
.	O

This	O
unwanted	O
effect	O
on	O
postural	O
blood	O
pressure	O
was	O
not	O
the	O
result	O
of	O
underlying	O
autonomic	O
failure	O
.	O

The	O
aims	O
of	O
this	O
study	O
were	O
to	O
confirm	O
our	O
previous	O
findings	O
in	O
a	O
separate	O
cohort	O
of	O
patients	O
and	O
to	O
determine	O
the	O
time	O
course	O
of	O
the	O
cardiovascular	O
consequences	O
of	O
stopping	O
selegiline	O
in	O
the	O
expectation	O
that	O
this	O
might	O
shed	O
light	O
on	O
the	O
mechanisms	O
by	O
which	O
the	O
drug	O
causes	O
orthostatic	B-DISO
hypotension	I-DISO
.	O

METHODS	O
:	O
The	O
cardiovascular	O
responses	O
to	O
standing	O
and	O
head	O
-	O
up	O
tilt	O
were	O
studied	O
repeatedly	O
in	O
PD	B-DISO
patients	O
receiving	O
selegiline	O
and	O
as	O
the	O
drug	O
was	O
withdrawn	O
.	O

RESULTS	O
:	O
Head	O
-	O
up	O
tilt	O
caused	O
systolic	B-DISO
orthostatic	I-DISO
hypotension	I-DISO
which	O
was	O
marked	O
in	O
six	O
of	O
20	O
PD	B-DISO
patients	O
on	O
selegiline	O
,	O
one	O
of	O
whom	O
