The	O
TGF	O
-	O
beta	O
type	O
II	O
receptor	O
in	O
chronic	O
myeloid	O
leukemia	O
:	O
analysis	O
of	O
microsatellite	O
regions	O
and	O
gene	O
expression	O
.	O

Genomic	O
instability	O
is	O
one	O
mechanism	O
proposed	O
to	O
play	O
a	O
role	O
in	O
the	O
disease	O
progression	O
of	O
chronic	O
myeloid	O
leukemia	O
(	O
CML	O
)	O
.	O

Microsatellite	O
regions	O
in	O
the	O
type	O
II	O
transforming	O
growth	O
factor	O
-	O
beta	O
receptor	O
(	O
TGF	O
-	O
beta	O
RII	O
)	O
gene	O
appear	O
to	O
be	O
targets	O
for	O
mutation	O
in	O
some	O
cancers	O
displaying	O
microsatellite	O
instability	O
(	O
replication	O
error	O
phenotype	O
,	O
RER	O
+	O
)	O
.	O

Furthermore	O
,	O
TGF	O
-	O
beta	O
RII	O
mutations	O
in	O
RER	O
+	O
tumors	O
have	O
been	O
associated	O
with	O
decreased	O
TGF	O
-	O
beta	O
RII	O
mRNA	O
levels	O
.	O

As	O
TGF	O
-	O
beta	O
is	O
a	O
potent	O
negative	O
growth	O
regulator	O
of	O
hematopoietic	B-Cell
cells	I-Cell
,	O
investigations	O
were	O
undertaken	O
to	O
determine	O
whether	O
inactivation	O
of	O
the	O
receptor	O
by	O
microsatellite	O
alteration	O
might	O
be	O
involved	O
in	O
the	O
progression	O
of	O
CML	O
.	O

Analysis	O
of	O
TGF	O
-	O
beta	O
RII	O
mRNA	O
expression	O
by	O
RNase	O
protection	O
,	O
with	O
comparison	O
of	O
cells	B-Cell
from	O
the	O
chronic	O
,	O
accelerated	O
and	O
blast	O
phases	O
of	O
CML	O
,	O
showed	O
no	O
change	O
in	O
TGF	O
-	O
beta	O
RII	O
transcript	O
levels	O
during	O
disease	O
progression	O
.	O

However	O
,	O
during	O
each	O
phase	O
of	O
the	O
disease	O
,	O
low	O
levels	O
of	O
TGF	O
-	O
beta	O
RII	O
were	O
detected	O
when	O
compared	O
with	O
the	O
hematopoietic	B-Cell
cells	I-Cell
of	O
normal	O
donors	O
.	O

Furthermore	O
,	O
this	O
decreased	O
expression	O
was	O
also	O
observed	O
in	O
the	O
other	O
myeloproliferative	O
disorders	O
,	O
polycythemia	O
rubra	O
vera	O
(	O
PRV	O
)	O
and	O
essential	O
thrombocythemia	O
(	O
ET	O
)	O
.	O

The	O
leukemia	B-Cell
cell	I-Cell
lines	I-Cell
K562	I-Cell
and	O
HL	B-Cell
-	I-Cell
60	I-Cell
had	O
no	O
detectable	O
TGF	O
-	O
beta	O
RII	O
mRNA	O
.	O

Two	O
microsatellite	O
regions	O
found	O
altered	O
in	O
RER	O
+	O
colon	O
cancers	O
were	O
analyzed	O
to	O
establish	O
if	O
these	O
sequences	O
were	O
aberrant	O
in	O
CML	O
.	O

No	O
alteration	O
was	O
detected	O
in	O
either	O
of	O
these	O
regions	O
in	O
any	O
phase	O
of	O
the	O
disease	O
.	O

These	O
results	O
suggest	O
that	O
alterations	O
of	O
the	O
microsatellite	O
regions	O
in	O
the	O
TGF	O
-	O
beta	O
RII	O
gene	O
are	O
not	O
involved	O
in	O
the	O
progression	O
of	O
CML	O
.	O

Decreased	O
expression	O
of	O
TGF	O
-	O
beta	O
RII	O
in	O
CML	B-Cell
cells	I-Cell
and	O
leukemia	B-Cell
cell	I-Cell
lines	I-Cell
raises	O
the	O
possibility	O
that	O
altered	O
expression	O
of	O
the	O
receptor	O
may	O
play	O
a	O
role	O
in	O
the	O
initiation	O
and	O
/	O
or	O
maintenance	O
of	O
the	O
disease	O
state	O
.	O

N	O
-	O
glycosylation	O
of	O
glucose	O
transporter	O
-	O
1	O
(	O
Glut	O
-	O
1	O
)	O
is	O
associated	O
with	O
increased	O
transporter	O
affinity	O
for	O
glucose	O
in	O
human	O
leukemic	B-Cell
cells	I-Cell
.	O

To	O
elucidate	O
the	O
role	O
of	O
N	O
-	O
glycosylation	O
in	O
the	O
functional	O
activity	O
of	O
the	O
universal	O
glucose	O
transporter	O
,	O
Glut	O
-	O
1	O
,	O
we	O
investigated	O
effects	O
of	O
the	O
N	O
-	O
glycosylation	O
inhibitor	O
,	O
tunicamycin	O
,	O
on	O
glucose	O
transport	O
by	O
human	O
leukemic	B-Cell
cell	I-Cell
lines	I-Cell
K562	I-Cell
,	O
U937	B-Cell
and	O
HL60	B-Cell
.	O

Treatment	O
with	O
tunicamycin	O
produced	O
a	O
40	O
-	O
50	O
%	O
inhibition	O
of	O
2	O
-	O
deoxyglucose	O
uptake	O
and	O
this	O
was	O
associated	O
with	O
a	O
2	O
-	O
2	O
.	O
5	O
-	O
fold	O
decrease	O
in	O
transporter	O
affinity	O
for	O
glucose	O
(	O
Km	O
)	O
without	O
a	O
change	O
in	O
Vmax	O
.	O

Leukemic	B-Cell
K562	I-Cell
,	O
U937	B-Cell
and	O
HL60	B-Cell
cells	I-Cell
expressed	O
Glut	O
-	O
1	O
transporter	O
protein	O
.	O

With	O
K562	B-Cell
cells	I-Cell
Glut	O
-	O
1	O
appeared	O
as	O
a	O
broad	O
band	O
of	O
50	O
-	O
60	O
kDa	O
,	O
whereas	O
with	O
U937	B-Cell
and	O
HL60	B-Cell
cells	I-Cell
a	O
diffuse	O
band	O
was	O
observed	O
at	O
approximately	O
55	O
kDa	O
.	O

Treatment	O
of	O
K562	B-Cell
cells	I-Cell
with	O
tunicamycin	O
for	O
18	O
h	O
,	O
resulted	O
in	O
extensive	O
loss	O
of	O
the	O
50	O
-	O
60	O
kDa	O
glycoprotein	O
,	O
appearance	O
of	O
a	O
30	O
-	O
40	O
kDa	O
band	O
and	O
increased	O
staining	O
of	O
a	O
45	O
kDa	O
band	O
.	O

With	O
U937	B-Cell
cells	I-Cell
,	O
tunicamycin	O
treatment	O
resulted	O
in	O
the	O
appearance	O
of	O
a	O
30	O
-	O
40	O
kDa	O
band	O
and	O
increased	O
staining	O
of	O
a	O
45	O
kDa	O
band	O
.	O

With	O
HL60	B-Cell
cells	I-Cell
loss	O
of	O
the	O
55	O
kDa	O
Glut	O
-	O
1	O
band	O
was	O
observed	O
and	O
a	O
band	O
of	O
45	O
kDa	O
appeared	O
.	O

Tunicamycin	O
-	O
treatment	O
resulted	O
in	O
75	O
-	O
90	O
%	O
inhibition	O
in	O
[	O
3H	O
]	O
mannose	O
incorporation	O
but	O
only	O
20	O
-	O
25	O
%	O
inhibition	O
in	O
[	O
3H	O
]	O
thymidine	O
and	O
[	O
3H	O
]	O
leucine	O
incorporation	O
.	O

In	O
contrast	O
,	O
tunicamycin	O
had	O
little	O
effect	O
on	O
the	O
viability	O
and	O
MTT	O
responses	O
of	O
the	O
cells	B-Cell
used	O
.	O

These	O
results	O
suggest	O
that	O
in	O
leukemic	B-Cell
cells	I-Cell
N	O
-	O
glycosylation	O
of	O
Glut	O
-	O
1	O
plays	O
an	O
important	O
role	O
in	O
maintaining	O
its	O
structure	O
and	O
functional	O
integration	O
.	O

Immunohistochemical	O
analysis	O
of	O
nm23	O
-	O
H1	O
gene	O
product	O
in	O
node	O
-	O
positive	O
lung	O
cancer	O
and	O
lymph	O
nodes	O
.	O

The	O
nm23	O
-	O
H1	O
gene	O
product	O
has	O
been	O
considered	O
as	O
an	O
anti	O
-	O
metastatic	O
protein	O
and	O
the	O
level	O
of	O
its	O
expression	O
has	O
been	O
reported	O
to	O
correlate	O
inversely	O
with	O
metastatic	O
potential	O
in	O
some	O
cancers	O
.	O

However	O
,	O
the	O
expression	O
of	O
nm23	O
-	O
H1	O
gene	O
product	O
in	O
the	O
metastatic	O
sites	O
have	O
not	O
been	O
studied	O
in	O
detail	O
.	O

We	O
examined	O
the	O
expression	O
of	O
