Bradycardia	O
-	O
induced	S-Positive_regulation
coronary	S-Multi-tissue_structure
angiogenesis	S-Blood_vessel_development
is	O
dependent	S-Positive_regulation
on	O
vascular	B-Gene_or_gene_product
endothelial	I-Gene_or_gene_product
growth	I-Gene_or_gene_product
factor	E-Gene_or_gene_product
.	O

A	O
marked	O
coronary	S-Multi-tissue_structure
angiogenesis	S-Blood_vessel_development
is	O
known	O
to	O
occur	O
with	O
chronic	O
bradycardia	O
.	O

We	O
tested	O
the	O
hypothesis	O
that	O
vascular	B-Gene_or_gene_product
endothelial	I-Gene_or_gene_product
growth	I-Gene_or_gene_product
factor	E-Gene_or_gene_product
(	O
VEGF	S-Gene_or_gene_product
)	O
,	O
an	O
endothelial	B-Cell
cell	E-Cell
mitogen	O
and	O
a	O
major	O
regulator	O
of	O
angiogenesis	S-Blood_vessel_development
,	O
is	O
upregulated	S-Positive_regulation
in	O
response	O
to	O
low	O
heart	S-Organ
rate	O
and	O
consequential	O
increased	O
stroke	O
volume	O
.	O

Bradycardia	O
was	O
induced	O
in	O
rats	S-Organism
by	O
administering	S-Planned_process
the	O
bradycardic	O
drug	O
alinidine	S-Drug_or_compound
(	O
3	O
mg	O
/	O
kg	O
body	O
weight	O
)	O
twice	O
daily	O
.	O

Heart	O
rate	O
decreased	O
by	O
32	O
%	O
for	O
20	O
to	O
40	O
minutes	O
after	O
injection	O
and	O
was	O
chronically	O
reduced	O
by	O
10	O
%	O
,	O
14	O
%	O
,	O
and	O
18	O
.	O
5	O
%	O
after	O
1	O
,	O
2	O
,	O
and	O
3	O
weeks	O
of	O
treatment	O
,	O
respectively	O
.	O

Arterial	S-Multi-tissue_structure
pressure	O
and	O
cardiac	O
output	O
were	O
unchanged	O
.	O

Left	B-Tissue
ventricular	I-Tissue
capillary	E-Tissue
length	O
density	O
(	O
mm	O
/	O
mm	O
(	O
3	O
)	O
)	O
increased	S-Positive_regulation
gradually	O
with	O
alinidine	S-Drug_or_compound
administration	S-Planned_process
;	O
a	O
15	O
%	O
increase	S-Positive_regulation
after	O
2	O
weeks	O
and	O
a	O
40	O
%	O
increase	S-Positive_regulation
after	O
3	O
weeks	O
of	O
alinidine	S-Drug_or_compound
treatment	S-Planned_process
were	O
documented	O
.	O

Left	B-Multi-tissue_structure
ventricular	E-Multi-tissue_structure
weight	O
,	O
body	O
weight	O
,	O
and	O
their	O
ratio	O
were	O
not	O
significantly	O
altered	O
by	O
alinidine	S-Drug_or_compound
treatment	S-Planned_process
.	O

After	O
1	O
week	O
of	O
treatment	O
,	O
before	O
an	O
increase	S-Positive_regulation
in	O
capillary	S-Tissue
length	O
density	O
,	O
VEGF	S-Gene_or_gene_product
mRNA	O
increased	S-Positive_regulation
greater	O
than	O
2	O
-	O
fold	O
and	O
then	O
declined	S-Negative_regulation
to	O
control	O
levels	O
after	O
3	O
weeks	O
of	O
treatment	O
.	O

VEGF	S-Gene_or_gene_product
protein	O
was	O
higher	O
in	O
alinidine	S-Drug_or_compound
-	O
treated	S-Planned_process
rats	S-Organism
than	O
in	O
controls	O
after	O
2	O
weeks	O
and	O
increased	S-Positive_regulation
further	O
after	O
3	O
weeks	O
of	O
treatment	O
.	O

Injection	S-Planned_process
of	O
VEGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
neutralizing	I-Gene_or_gene_product
antibodies	E-Gene_or_gene_product
over	O
a	O
2	O
-	O
week	O
period	O
completely	O
blocked	S-Negative_regulation
alinidine	S-Drug_or_compound
-	O
stimulated	S-Positive_regulation
angiogenesis	S-Blood_vessel_development
.	O

In	O
contrast	O
,	O
bFGF	S-Gene_or_gene_product
mRNA	O
was	O
not	O
altered	S-Regulation
by	O
alinidine	S-Drug_or_compound
treatment	S-Planned_process
.	O

These	O
data	O
suggest	O
that	O
VEGF	S-Gene_or_gene_product
plays	B-Regulation
a	I-Regulation
key	I-Regulation
role	E-Regulation
in	O
the	O
angiogenic	S-Blood_vessel_development
response	O
that	O
occurs	O
with	O
chronic	O
bradycardia	O
.	O

The	O
mechanism	O
underlying	O
this	O
VEGF	S-Gene_or_gene_product
-	O
associated	S-Regulation
angiogenesis	S-Blood_vessel_development
may	O
be	O
an	O
increase	O
in	O
stretch	O
due	O
to	O
enhanced	O
diastolic	O
filling	O
.	O

UFT	S-Drug_or_compound
and	O
its	O
metabolites	O
inhibit	S-Negative_regulation
the	O
angiogenesis	S-Blood_vessel_development
induced	S-Positive_regulation
by	O
murine	S-Organism
renal	B-Pathological_formation
cell	I-Pathological_formation
carcinoma	E-Pathological_formation
,	O
as	O
determined	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
in	O
mice	S-Organism
.	O

UFT	S-Drug_or_compound
,	O
an	O
anticancer	O
agent	O
that	O
is	O
composed	O
of	O
tegafur	S-Drug_or_compound
(	O
FT	S-Drug_or_compound
)	O
and	O
uracil	S-Drug_or_compound
at	O
a	O
molar	O
ratio	O
of	O
1	O
:	O
4	O
,	O
is	O
widely	O
used	O
in	O
clinical	O
practice	O
in	O
Japan	O
to	O
treat	S-Planned_process
cancer	S-Pathological_formation
patients	S-Organism
requiring	O
a	O
long	O
-	O
term	O
chemotherapy	S-Planned_process
,	O
and	O
it	O
is	O
associated	O
with	O
few	O
side	O
effects	O
,	O
if	O
any	O
.	O

In	O
this	O
study	O
,	O
we	O
have	O
evaluated	O
the	O
inhibitory	B-Negative_regulation
effect	E-Negative_regulation
of	O
UFT	S-Drug_or_compound
against	O
RENCA	B-Cell
cell	E-Cell
-	O
induced	S-Positive_regulation
angiogenesis	S-Blood_vessel_development
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
.	O

Marked	O
angiogenesis	S-Blood_vessel_development
is	O
induced	S-Positive_regulation
by	O
implantation	S-Planned_process
of	O
a	O
chamber	O
containing	O
RENCA	B-Cell
cells	E-Cell
into	O
mice	S-Organism
.	O

In	O
this	O
model	O
,	O
UFT	S-Drug_or_compound
showed	O
a	O
strong	O
angiogenesis	S-Blood_vessel_development
-	O
inhibitory	B-Negative_regulation
effect	E-Negative_regulation
,	O
